Nr.;BLZ;BIC;Institut;Ort;RZ;Organisation;HBCI-Zugang DNS;HBCI- Zugang     IP-Adresse;HBCI-Version;DDV;RDH-1;RDH-2;RDH-3;RDH-4;RDH-5;RDH-6;RDH-7;RDH-8;RDH-9;RDH-10;RAH-7;RAH-9;RAH-10;PIN/TAN-Zugang URL;Version;Datum letzte Änderung
546;26570024;DEUTDEDB265;Deutsche Bank Privat und Geschäftskunden;Bad Iburg;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
547;26570024;DEUTDEDB265;Deutsche Bank Privat und Geschäftskunden;Bramsche;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
548;26570024;DEUTDEDB265;Deutsche Bank Privat und Geschäftskunden;Georgsmarienhütte;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
549;26570024;DEUTDEDB265;Deutsche Bank Privat und Geschäftskunden;Lengerich;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
550;26570024;DEUTDEDB265;Deutsche Bank Privat und Geschäftskunden;Melle;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
551;26570024;DEUTDEDB265;Deutsche Bank Privat und Geschäftskunden;Quakenbrück;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
552;26570090;DEUTDE3B265;Deutsche Bank;Osnabrück;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
553;26570090;DEUTDE3B265;Deutsche Bank;Georgsmarienhütte;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
554;26570090;DEUTDE3B265;Deutsche Bank;Bramsche;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
555;26570090;DEUTDE3B265;Deutsche Bank;Bad Iburg;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
556;26570090;DEUTDE3B265;Deutsche Bank;Lengerich;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
557;26570090;DEUTDE3B265;Deutsche Bank;Melle;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
558;26570090;DEUTDE3B265;Deutsche Bank;Quakenbrück;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
559;26590025;GENODEF1OSV;Volksbank Osnabrück eG;Osnabrück;Atruvia AG;BVR;fints1.atruvia.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
560;26640049;COBADEFFXXX;Commerzbank;Meppen;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010
561;26640049;COBADEFFXXX;Commerzbank;Lingen ;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010
562;26650001;NOLADE21EMS;Sparkasse Emsland;Meppen;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-ni3.s-fints-pt-ni.de/fints30;FinTS V3.0;09.02.2022
563;26660060;GENODEF1LIG;Emsländische Volksbank eG;Lingen ;Atruvia AG;BVR;fints1.atruvia.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
564;26661380;GENODEF1HLN;Volksbank Haselünne eG;Haselünne;Atruvia AG;BVR;fints1.atruvia.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
565;26740044;COBADEFFXXX;Commerzbank;Nordhorn;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010
566;26750001;NOLADE21NOH;Kreissparkasse Grafschaft Bentheim zu Nordhorn;Nordhorn;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-ni3.s-fints-pt-ni.de/fints30;FinTS V3.0;09.02.2022
567;26770024;DEUTDEDB267;Deutsche Bank Privat und Geschäftskunden;Nordhorn;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
568;26770024;DEUTDEDB267;Deutsche Bank Privat und Geschäftskunden;Lingen (Ems);eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
569;26770024;DEUTDEDB267;Deutsche Bank Privat und Geschäftskunden;Meppen;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
570;26770024;DEUTDEDB267;Deutsche Bank Privat und Geschäftskunden;Schüttorf;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
571;26770095;DEUTDE3B267;Deutsche Bank;Nordhorn;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
572;26770095;DEUTDE3B267;Deutsche Bank;Meppen;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
573;26770095;DEUTDE3B267;Deutsche Bank;Lingen (Ems);eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
574;26770095;DEUTDE3B267;Deutsche Bank;Schüttorf;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
575;26840032;COBADEFFXXX;Commerzbank;Goslar;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010
576;26840032;COBADEFFXXX;Commerzbank;Bad Harzburg;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010
577;26870024;DEUTDEDB268;Deutsche Bank Privat und Geschäftskunden;Goslar;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
578;26870024;DEUTDEDB268;Deutsche Bank Privat und Geschäftskunden;Clausthal-Zellerfeld;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
579;26870024;DEUTDEDB268;Deutsche Bank Privat und Geschäftskunden;Seesen;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
580;26870032;DEUTDE2H268;Deutsche Bank;Goslar;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
581;26870032;DEUTDE2H268;Deutsche Bank;Clausthal-Zellerfeld;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
582;26870032;DEUTDE2H268;Deutsche Bank;Seesen;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
583;26890019;GENODEF1VNH;Volksbank Nordharz eG;Nordharz ;Atruvia AG;BVR;fints1.atruvia.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
584;26891484;GENODEF1OHA;Volksbank Im Harz eG;Altenau;Atruvia AG;BVR;fints1.atruvia.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
585;26941053;COBADEFFXXX;Commerzbank;Wolfsburg;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010
586;26951311;NOLADE21GFW;Sparkasse Celle-Gifhorn-Wolfsburg;Gifhorn-Wolfsburg;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-ni2.s-fints-pt-ni.de/fints30;FinTS V3.0;09.02.2022
587;26971024;DEUTDEDB269;Deutsche Bank Privat und Geschäftskunden;Wolfsburg;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
588;26971038;DEUTDE2H269;Deutsche Bank;Wolfsburg;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
589;26991066;GENODEF1WOB;Volksbank eG Braunschweig Wolfsburg ;Wolfsburg;Atruvia AG;BVR;fints1.atruvia.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
590;26991066;GENODEF1WOB;Volksbank eG Wolfsburg;Wolfsburg;Atruvia AG;BVR;fints1.atruvia.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
591;27032500;BCLSDE21XXX;Bankhaus C. L. Seeliger;Wolfenbüttel;EFDIS AG Bankensoftware;BdB;banking.seeligerbank.de;nicht unterstützt;3.0;;ja;;ja;;ja;;;ja;ja;ja;;;;https://banking.seeligerbank.de/eBankingProxy/;FinTS V3.0;02.04.2014
592;27040080;COBADEFFXXX;Commerzbank;Gifhorn;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010
593;27040080;COBADEFFXXX;Commerzbank;Braunschweig;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010
594;27040080;COBADEFFXXX;Commerzbank;Helmstedt;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010
595;27040080;COBADEFFXXX;Commerzbank;Peine;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010
596;27040080;COBADEFFXXX;Commerzbank;Schöningen;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010
597;27040080;COBADEFFXXX;Commerzbank;Salzgitter;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010
598;27040080;COBADEFFXXX;Commerzbank;Wolfenbüttel;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010
599;27062290;GENODEF1BOH;Volksbank Börßum-Hornburg eG;Börßum-Hornburg;Atruvia AG;BVR;fints1.atruvia.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
600;27070024;DEUTDEDB270;Deutsche Bank Privat und Geschäftskunden;Braunschweig;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
601;27070024;DEUTDEDB270;Deutsche Bank Privat und Geschäftskunden;Bad Lauterberg im Harz;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
602;27070024;DEUTDEDB270;Deutsche Bank Privat und Geschäftskunden;Gifhorn;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
603;27070024;DEUTDEDB270;Deutsche Bank Privat und Geschäftskunden;Herzberg am Harz;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
604;27070024;DEUTDEDB270;Deutsche Bank Privat und Geschäftskunden;Osterode am Harz;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
605;27070024;DEUTDEDB270;Deutsche Bank Privat und Geschäftskunden;Bad Harzburg;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
606;27070024;DEUTDEDB270;Deutsche Bank Privat und Geschäftskunden;Bad Sachsa;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
607;27070024;DEUTDEDB270;Deutsche Bank Privat und Geschäftskunden;Helmstedt;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
608;27070024;DEUTDEDB270;Deutsche Bank Privat und Geschäftskunden;Peine;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
609;27070030;DEUTDE2H270;Deutsche Bank;Braunschweig;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
610;27070031;DEUTDE2H271;Deutsche Bank;Gifhorn;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
611;27070034;DEUTDE2H274;Deutsche Bank;Osterode am Harz;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
612;27070034;DEUTDE2H274;Deutsche Bank;Herzberg am Harz;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
613;27070034;DEUTDE2H274;Deutsche Bank;Bad Lauterberg im Harz;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
614;27070041;DEUTDE2H279;Deutsche Bank;Bad Sachsa;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
615;27070042;DEUTDE2H272;Deutsche Bank;Bad Harzburg;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
616;27070043;DEUTDE2H273;Deutsche Bank;Helmstedt;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
617;27070079;DEUTDE2H275;Deutsche Bank;Peine;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
618;27072524;DEUTDEDB277;Deutsche Bank Privat und Geschäftskunden;Wolfenbüttel;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
619;27072537;DEUTDE2H277;Deutsche Bank;Wolfenbüttel;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
620;27072724;DEUTDEDB276;Deutsche Bank Privat und Geschäftskunden;Salzgitter;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
621;27072736;DEUTDE2H276;Deutsche Bank;Salzgitter;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
622;27090900;GENODEF1P02;PSD Bank Braunschweig;Braunschweig;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;;;;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
623;27092555;GENODEF1WFV;Volksbank Wolfenbüttel-Salzgitter eG;Wolfenbüttel-Salzgitter;Atruvia AG;BVR;fints1.atruvia.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
624;27131300;GENODEF1RTS;Bankhaus Rautenschlein;Schöningen;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
625;27240004;COBADEFFXXX;Commerzbank;Holzminden;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010
626;27893359;GENODEF1BLG;Volksbank Braunlage eG;Braunlage;Atruvia AG;BVR;fints1.atruvia.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
627;27893760;GENODEF1SES;Volksbank Seesen eG;Seesen;Atruvia AG;BVR;fints1.atruvia.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
628;28020050;OLBODEH2XXX;Oldenburgische Landesbank AG;Oldenburg (Oldb);eigenes Rechenzentrum;;hbci.olb.de;;3.0;;ja;;;;;;;;ja;ja;;;;https://hbci.olb.de;FinTS V3.0;20.08.2017
629;28030300;FORTDEH4XXX;"Oldenburgische Landesbank AG (vormals W. Fortmann & Söhne)";Oldenburg (Oldb);eigenes Rechenzentrum;;hbci.olb.de;;3.0;;ja;;;;;;;;ja;ja;;;;https://hbci.olb.de;FinTS V3.0;29.09.2017
630;28040046;COBADEFFXXX;Commerzbank;Oldenburg ;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010
631;28042865;COBADEFFXXX;Commerzbank;Vechta;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010
632;28050100;SLZODE22XXX;Landessparkasse zu Oldenburg;Oldenburg;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-ni1.s-fints-pt-ni.de/fints30;FinTS V3.0;09.02.2022
633;28061410;GENODEF1BRN;Raiffeisenbank Berne-Moorriem eG;Berne-Moorriem;Atruvia AG;BVR;fints1.atruvia.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
634;28061501;GENODEF1CLP;Volksbank Cloppenburg eG;Cloppenburg ;Atruvia AG;BVR;fints1.atruvia.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
635;28061679;GENODEF1DAM;Volksbank Damme-Osterfeine eG;Damme-Osterfeine;Atruvia AG;BVR;fints1.atruvia.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
636;28061822;GENODEF1EDE;Oldenburger Volksbank eG;Ammerland;Atruvia AG;BVR;fints1.atruvia.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
637;28062165;GENODEF1RSE;Raiffeisenbank Rastede eG;Rastede;Atruvia AG;BVR;fints1.atruvia.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
638;28062249;GENODEF1HUD;Vereinigte Volksbank eG;Ganderkesee-Hude;Atruvia AG;BVR;fints1.atruvia.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
639;28062560;GENODEF1LON;Volksbank eG Lohne - Dinklage - Steinfeld - Mühlen;Lohne;Atruvia AG;BVR;fints1.atruvia.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
640;28063253;GENODEF1WRE;Volksbank Westerstede eG;Westerstede;Atruvia AG;BVR;fints1.atruvia.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
641;28063526;GENODEF1ESO;Volksbank Essen-Cappeln eG;Cappeln;Atruvia AG;BVR;fints1.atruvia.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
642;28064179;GENODEF1VEC;Volksbank Vechta eG;Vechta;Atruvia AG;BVR;fints1.atruvia.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
643;28065061;GENODEF1LOG;Volksbank Löningen eG;Löningen;Atruvia AG;BVR;fints1.atruvia.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
644;28065286;GENODEF1SAN;Raiffeisenbank Scharrel eG;Scharrel;Atruvia AG;BVR;fints1.atruvia.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
645;28066103;GENODEF1VIS;Volksbank Visbek eG;Visbek;Atruvia AG;BVR;fints1.atruvia.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
646;28066214;GENODEF1WDH;Volksbank eG Oldenburg-Land Delmenhorst ;Wildeshausen;Atruvia AG;BVR;fints1.atruvia.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
647;28066620;GENODEF1FOY;Volksbank eG;Friesoythe;Atruvia AG;BVR;fints1.atruvia.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
648;28067257;GENODEF1LAP;Volksbank Lastrup eG;Lastrup;Atruvia AG;BVR;fints1.atruvia.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
649;28068218;GENODEF1BUT;Raiffeisenbank Butjadingen-Abbehausen eG;Butjadingen-Abbehausen;Atruvia AG;BVR;fints1.atruvia.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
650;28069052;GENODEF1ORF;Raiffeisenbank Strücklingen-Idafehn eG;Strücklingen-Idafehn;Atruvia AG;BVR;fints1.atruvia.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
651;28069109;GENODEF1EMK;Volksbank Emstek eG;Emstek;Atruvia AG;BVR;fints1.atruvia.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
652;28069381;GENODEF1WLT;Hümmlinger Volksbank eG;Hümmling;Atruvia AG;BVR;fints1.atruvia.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
653;28069706;GENODEF1BOG;Volksbank Nordhümmling eG;Nordhümmling;Atruvia AG;BVR;fints1.atruvia.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
654;28069773;GENODEF1WWM;Raiffeisenbank Wiesede-Marcardsmoor eG;Wiesede-Marcardsmoor;Atruvia AG;BVR;fints1.atruvia.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
655;28069878;GENODEF1KBL;Raiffeisenbank Emsland-Mitte eG;Emsland;Atruvia AG;BVR;fints1.atruvia.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
656;28069926;GENODEF1HOO;Volksbank Hoogstede-Wilsum eG;Hoogstede-Wilsum;Atruvia AG;BVR;fints1.atruvia.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
